linkID,link
9,0
135,0
434,0
262,1
383,1
212,1
357,1
233,1
189,1
441,0
333,1
134,1
491,0
321,1
132,0
2,1
228,1
260,1
85,0
204,1
426,0
377,0
277,0
101,0
12,1
38,1
395,1
18,1
147,0
133,1
392,1
304,1
479,0
486,0
241,1
177,1
53,0
466,1
419,1
452,0
280,1
124,1
140,0
423,0
443,0
478,0
295,1
22,0
176,1
360,0
162,0
46,0
14,0
119,0
144,0
325,0
408,0
152,1
365,1
146,1
116,0
42,0
29,1
410,0
165,1
172,1
442,0
138,1
154,1
307,1
74,0
68,1
273,0
285,1
359,0
37,0
41,0
103,1
156,0
229,0
438,0
7,1
77,0
211,1
453,0
79,0
283,0
91,1
186,0
117,0
125,1
16,1
279,0
373,0
13,0
267,0
447,1
196,1
15,0
431,0
465,0
255,1
323,0
11,1
81,0
231,1
332,0
3,1
45,1
429,1
409,0
203,0
185,0
20,0
371,1
396,1
153,1
483,1
206,0
316,0
448,1
398,1
92,0
463,0
390,1
86,1
352,0
310,0
122,0
248,1
271,1
87,0
219,0
314,0
417,0
163,1
150,0
420,1
23,0
151,0
265,0
293,0
350,0
269,1
252,0
291,0
412,0
149,0
474,0
96,0
312,0
105,1
180,0
308,0
26,1
136,1
311,0
64,0
128,1
329,0
88,1
35,1
388,1
430,1
195,1
379,0
181,0
223,1
490,0
155,1
422,1
303,1
462,0
391,1
82,1
58,0
468,0
183,1
492,1
389,0
374,0
306,0
148,0
208,0
461,0
427,0
89,0
247,0
224,0
84,1
95,0
319,1
59,0
236,1
102,1
432,1
120,0
480,1
201,0
344,0
482,0
28,0
351,0
34,0
455,1
126,0
226,0
51,0
338,1
454,0
75,0
234,1
399,1
289,0
418,0
230,1
191,1
335,0
94,0
475,1
284,1
459,1
161,0
451,1
263,0
298,0
232,1
494,0
320,1
40,1
421,1
499,0
317,0
405,1
69,1
370,1
218,1
382,0
425,1
449,0
477,1
437,0
386,0
129,1
270,1
198,1
313,0
73,1
30,0
376,0
4,1
309,1
114,1
481,0
47,1
297,1
300,1
238,1
52,1
433,1
341,0
361,1
168,1
355,1
60,1
353,0
220,0
17,1
488,0
90,0
57,1
98,1
62,0
239,1
39,0
166,0
275,0
118,0
384,0
249,1
182,0
178,0
97,0
143,1
170,0
242,0
473,1
190,0
50,0
413,1
331,0
278,1
227,0
131,0
393,0
258,1
436,0
489,0
158,1
127,1
290,0
173,1
24,1
305,1
25,0
343,0
334,0
6,0
378,1
487,1
259,1
460,1
327,0
243,1
336,1
387,1
363,0
253,1
121,0
1,1
467,1
202,0
145,0
397,1
251,0
188,0
70,0
324,1
315,0
250,0
194,0
66,0
67,1
496,0
266,1
264,0
282,1
0,1
472,0
216,0
139,1
476,0
493,0
354,1
444,1
362,0
65,0
174,1
215,0
411,0
356,1
222,0
193,0
141,0
123,0
458,1
221,1
292,0
33,0
440,1
406,0
27,1
268,1
369,0
164,0
10,1
19,0
294,1
159,1
450,0
403,1
179,1
281,1
339,0
400,0
167,0
209,1
244,0
157,1
137,0
254,1
404,1
175,1
366,0
367,1
484,0
439,1
61,0
318,0
83,0
36,0
415,0
93,1
347,1
192,0
256,0
108,0
349,1
112,1
240,1
76,0
54,1
301,1
106,1
328,1
245,0
142,0
495,0
31,1
497,1
184,1
445,0
485,0
200,0
380,1
214,0
296,1
498,0
210,1
235,0
302,1
63,0
274,1
424,1
385,1
107,1
113,1
407,1
276,0
381,1
435,1
109,1
416,0
287,0
130,1
330,0
326,0
364,1
322,0
21,1
100,1
375,1
457,1
414,1
213,1
43,0
32,0
456,0
197,0
115,0
207,0
80,0
446,0
286,1
48,1
237,1
358,1
257,1
340,0
199,0
217,0
464,0
469,1
205,1
5,0
78,0
394,0
72,1
470,1
401,0
169,1
428,1
345,1
342,0
372,0
56,1
55,1
104,0
110,0
49,1
471,0
171,1
337,1
346,1
402,0
246,1
111,1
160,0
71,0
99,0
44,1
272,1
8,0
299,0
261,0
225,0
288,0
348,0
187,1
368,1
